row,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
comp14094_c0,11.943430682344982,1.922841962505777,6.357435367149952,0.48730879188771586,3.9458388490327754,7.952108569506572e-5,0.01371372833673802
comp144572_c0,36.94181330147377,1.7709177109863066,3.3597601535172403,0.47958791346295254,3.692582029849481,2.219887034693411e-4,0.029159357264127002
comp150582_c0,18.946652746553625,3.343746777561358,8.185446472466388,0.48804936691473866,6.851247034084371,7.320896605241037e-12,1.2105317857254443e-8
comp170750_c0,39.10342533744452,-2.306284356490383,-4.498261447241403,0.464017869659898,-4.970249008256459,6.68669700715899e-7,2.8054186995707343e-4
comp17837_c0,490.8219416236208,1.1448907635828514,1.2036146662329221,0.21257878060276658,5.385724578608065,7.215337958670758e-8,4.225482292046563e-5
comp192012_c0,8.95169913262496,2.0266447271525823,3.8070471219257094,0.48784011385027587,4.154321609917024,3.26254030006956e-5,0.006947727866284495
comp20530_c0,21.435080472210583,2.418396784338712,3.3863952337612275,0.4515409263555081,5.355875056239432,8.514333243624837e-8,4.884447091393758e-5
comp222486_c0,10.786874041962555,-1.7529035480652686,-4.095550428792267,0.48592832158258925,-3.6073294562382117,3.093647471964846e-4,0.03764607378222157
comp235435_c0,10.307189403518581,1.8333117829078556,3.339068942527863,0.48192922159429463,3.804110024378649,1.423149196702974e-4,0.021279108467723726
comp254710_c0,15.292238560682568,-1.6699782194724944,-3.493163682853389,0.47431133034932615,-3.520848254336598,4.3016871133884105e-4,0.04846589044756547
comp261738_c0,7.244692221996088,2.3266426593729146,6.790540540237952,0.48815198981576674,4.7662259048683016,1.8770879074983362e-6,6.679106465794712e-4
comp302705_c0,7.229344976490773,1.757423153322669,3.4740683974302837,0.4914646763578267,3.57588904729975,3.4903967455833854e-4,0.041052323229434716
comp43200_c0,10.4329082013442,1.7306699821071267,4.014384523540706,0.48783825391723384,3.5476307325434764,3.8871278694121335e-4,0.044417546507794746
comp54280_c0,15.666547046408306,-1.6794560339859075,-2.7860254501254467,0.4781525897341103,-3.5123851047629264,4.4410397814228196e-4,0.049342936069484374
comp54463_c0,48.354309197541546,1.350878583475282,1.7077462258066662,0.37394932265038194,3.612464314417985,3.0330085659566896e-4,0.03723051126159063
comp54823_c0,13.596992408613719,1.7864309845076523,6.7253047700486395,0.4926105331280425,3.626457138794699,2.8733648728637446e-4,0.03565463350262157
comp56447_c0,17.517299865357298,-1.949565664960548,-4.582097115933681,0.48066415834595333,-4.055983020804657,4.992388623745555e-5,0.00981370938555857
comp56949_c0,13.917275966333941,-1.7510995732882557,-5.017674985485303,0.4863524111498377,-3.6004747445341008,3.1763668234355925e-4,0.03819903950773668
comp57335_c0,44.656365287647084,4.798822509994234,9.44441234538847,0.4573648717919806,10.492328567325655,9.369046510521974e-26,1.3168194870538635e-21
comp57635_c0,20.25146632691145,1.7075825689734312,2.4960879003947087,0.4473131118491084,3.817421228531857,1.3485382216590387e-4,0.020380327640234182
comp65171_c0,10.52522771307841,-1.7230053764193782,-4.575094543556975,0.47840250098492604,-3.6015810387113096,3.1628779582743987e-4,0.03819903950773668
comp65869_c0,76.82890675326001,1.7121223971674633,2.113132442812268,0.3831290486906286,4.468787744021933,7.866414062740653e-6,0.002296370510737295
comp66623_c0,21.72901491386138,1.9504819075293,2.840470734146684,0.4458237653195557,4.375006581650581,1.214288144016105e-5,0.0031899187705206953
comp66640_c0,12.251798479475505,2.0994617742346176,6.491762515758967,0.48309369062506125,4.345868751707735,1.3872550434194452e-5,0.0035131296640108656
comp68415_c0,17.489718009893178,1.7772319281873994,2.734357531940473,0.4676879955632831,3.8000375144264766,1.4467418496849749e-4,0.021404164944549813
comp70708_c0,16.648257180249537,-1.9168664425229858,-4.043055300050026,0.4900269642574729,-3.911757071220706,9.162705429759106e-5,0.015150802919442851
comp70729_c0,344.159736842697,1.3528011453077815,1.4186206130495174,0.20340816326632719,6.650672832321516,2.917561723038587e-11,3.905364763553081e-8
comp71763_c0,12.624647462836512,-2.00988073629676,-4.3697746586854045,0.492699988801471,-4.0793196305645205,4.516769894746139e-5,0.009200463894298112
comp72262_c0,91.82771785515887,1.7711886663866359,2.2634366655834226,0.3923663163035545,4.514120078076107,6.35801876481514e-6,0.0019013181646697192
comp72558_c0,40.625850541574515,-2.6410772005858383,-3.994803468623246,0.47580377724293654,-5.550769722530709,2.8441452479935394e-8,1.8592772772348463e-5
comp73134_c0,33.576955882394046,2.2249791477860916,7.431900618473745,0.482840625208066,4.608102615282842,4.06360115725438e-6,0.0013282305643072165
comp74068_c0,93.93886152191013,1.975775204845088,2.290993255982018,0.31698449194926104,6.233034280936828,4.574860070684868e-10,5.358304857789651e-7
comp74088_c0,12.820257522524557,1.791530792281639,4.815162818664171,0.48113928654263444,3.723517996535269,1.9646584946089138e-4,0.02667949289055873
comp74097_c0,58.44369423561359,1.8732271628995392,2.4475854383306683,0.4084119501805998,4.586612027564811,4.504967189732289e-6,0.001439029860265621
comp74749_c0,48.9486845111433,1.6636932906874695,2.5369772270581668,0.45200794812093237,3.680672646584429,2.326194919960347e-4,0.029995109724809794
comp75096_c0,112.71785419452975,1.1489326897126668,1.2714278932286975,0.27979304736033506,4.106366117929296,4.019322462184095e-5,0.008307584883234919
comp75237_c1,33.24019152782787,1.6222195368205998,2.1370670585112164,0.42237450522799636,3.8407136717329355,1.226771385290007e-4,0.0190083641627129
comp75318_c0,162.1533891737825,1.730244349537643,1.9691274651001742,0.2944206873766069,5.8767757284813635,4.183343482588985e-9,3.793347912760528e-6
